ZIP,LAT,LNG
33597,28.5455315,-82.0805317
37353,35.1150099,-84.9890965
33598,27.6934231,-82.2846591
37354,35.5063288,-84.3473845
33602,27.9535304,-82.4571128
33603,27.9856178,-82.4644389
37355,35.4997867,-86.0838331
33604,28.0171543,-82.4553503
37356,35.2288775,-85.8236940
37357,35.5852879,-85.9173400
37359,35.2042001,-86.4128769
37360,35.4375961,-86.2543385
37361,35.1014711,-84.6866446
53526,42.9740511,-90.3436064
61842,40.238677,-88.6653946
53527,43.0513571,-89.1922572
61843,40.3172413,-88.3739027
53528,43.1183001,-89.6380136
53529,43.242558,-89.5146905
61844,40.1429666,-87.8692075
61845,40.3736206,-88.3968137
53530,42.6938288,-90.1058903
61846,39.9772517,-87.6075376
53531,43.0622164,-89.1023929
61847,40.3193021,-88.0112425
61848,40.3080604,-87.7027714
61849,40.0142263,-87.9673702
61850,39.9310081,-87.7385813
61851,39.9608195,-88.4347235
53532,43.2502038,-89.3263292
61852,39.9031522,-88.0757988
61853,40.2149558,-88.4211710
53533,42.9967368,-90.1621789
61854,40.1998724,-88.5293281
61855,39.9221387,-88.6609290
53534,42.8608232,-89.0933096
61856,40.0267619,-88.5801176
61857,40.1165537,-87.8422799
53536,42.7612331,-89.2678618
02536,41.5963048,-70.5674667
02537,41.7284214,-70.4358105
02538,41.7773631,-70.6422276
02539,41.377655,-70.5220800
02540,41.5738806,-70.6320490
02542,41.7078392,-70.5455195
02543,41.478974,-70.7669110
02553,41.7125265,-70.6207473
02554,41.2910715,-70.0933285
02556,41.6394454,-70.6245149
02557,41.441713,-70.5761430
02558,41.745017,-70.6535130
02559,41.6902429,-70.6162831
02561,41.7667368,-70.5405950
02562,41.7872087,-70.5267169
02563,41.7281369,-70.4765487
02564,41.2719344,-69.9844153
75137,32.6432116,-96.9164680
75140,32.6465729,-95.6875313
75141,32.6373325,-96.6976088
75142,32.5681628,-96.2502144
75143,32.3666864,-96.2450394
75144,32.1083877,-96.2079546
75146,32.564518,-96.7522227
75147,32.4366759,-96.0795577
75148,32.1262213,-96.0241305
75149,32.7733689,-96.6188105
75150,32.8173991,-96.6304156
75152,32.439871,-96.6780508
75153,32.1582646,-96.3296323
75154,32.5217727,-96.8073149
75155,32.2291128,-96.4755085
75156,32.2777586,-96.1053322
75157,32.464756,-96.4395197
70464,30.5511949,-89.9190077
75158,32.4628311,-96.4021313
70465,30.8562587,-90.5239299
80476,39.6706285,-105.8343433
80477,40.486391,-106.8293537
80478,40.0290015,-105.8528131
70466,30.5687142,-90.5007611
80479,40.0359116,-106.8144972
75159,32.6045429,-96.5435378
70471,30.4070384,-90.0634214
80480,40.6728876,-106.3415656
80481,40.1014108,-105.5767641
75160,32.758408,-96.3013232
80482,39.8923412,-105.7859710
80483,40.0917979,-106.9359802
70501,30.2418323,-91.9910394
42044,36.9575817,-88.2632028
48506,43.067472,-83.6243923
42045,37.0639931,-88.2630968
42047,37.2950415,-88.3993524
42048,36.7657052,-88.2285820
42049,36.521138,-88.3337561
48507,42.9669664,-83.7173591
42050,36.5554213,-89.2192742
42051,36.8507281,-88.6471737
48509,43.0239407,-83.6047091
48519,42.9818911,-83.6049529
48529,42.9703379,-83.6585901
42053,37.1126488,-88.8778230
42054,36.7144539,-88.4334566
48532,43.0110682,-83.7948753
48551,42.9809938,-83.7168996
48553,42.9778311,-83.7235483
48554,42.9758813,-83.7907344
27201,36.0341723,-79.4848287
27203,35.7284639,-79.7865270
27205,35.6382587,-79.8508662
27207,35.6076129,-79.3905175
27208,35.5632305,-79.5429277
27209,35.3431019,-79.7534419
27212,36.480967,-79.2798562
27214,36.206055,-79.6711260
27215,36.0270987,-79.4917994
27217,36.190945,-79.3801853
27229,35.2656322,-79.7757333
27231,36.2077199,-79.1694201
27233,35.8925121,-79.7049800
27235,36.0920281,-80.0114425
27239,35.6006596,-80.0902264
27242,35.3296566,-79.6489549
27243,36.0669164,-79.1981478
27244,36.2153772,-79.4863698
27248,35.7832957,-79.7163307
27249,36.1541407,-79.5823894
27252,35.5666138,-79.3497583
27253,35.9661659,-79.3473611
27258,36.0108018,-79.2911976
27260,35.954467,-79.9878820
27262,35.9631296,-80.0416675
27263,35.9115216,-79.9367987
27265,36.0123051,-80.0309493
27278,36.0901953,-79.0869286
27281,35.1874423,-79.6251154
27282,35.9889567,-79.9282820
27283,35.951474,-79.6354182
27284,36.1193332,-80.0773421
27288,36.4976449,-79.7500154
27291,36.4183159,-79.1684283
27292,35.738325,-80.2075465
27295,35.8717669,-80.3101798
27298,35.8851152,-79.5675454
27299,35.7523237,-80.3861487
27301,36.1135101,-79.6656557
27302,36.1420299,-79.2661809
43529,41.1876053,-83.7815852
43531,41.6350441,-84.4956661
43532,41.4504965,-83.9749671
43533,41.691884,-84.0815567
43534,41.349611,-83.9269810
43535,41.3072797,-84.0220343
43536,41.309794,-84.6328946
43537,41.5747944,-83.6867007
43540,41.6928458,-83.9280254
43541,41.3007553,-83.8295360
43542,41.5666651,-83.7650324
43543,41.6064888,-84.6453462
43545,41.3908844,-84.1273369
43547,41.4921602,-83.8763158
43548,41.1853343,-84.1751158
43549,41.3712031,-84.5207540
43551,41.5179514,-83.5720038
43553,41.5312274,-84.2288363
43554,41.6584215,-84.5634914
43555,41.4341293,-84.2543218
43556,41.3033043,-84.5637286
43557,41.4873857,-84.3924662
43558,41.5939716,-83.8786533
43560,41.700591,-83.7388517
43565,41.4199707,-83.7401071
43566,41.4926527,-83.7533900
43567,41.5803451,-84.1610652
84401,41.2120121,-112.0345641
73145,35.4190906,-97.3940463
73149,35.3894094,-97.4893275
71960,34.4903385,-93.7113668
73150,35.4012377,-97.3298758
73151,35.5716808,-97.4165603
71961,34.6003155,-93.8383599
84403,41.2149912,-111.8895890
71962,34.036195,-93.3227452
71964,34.4241338,-93.2407307
73159,35.3878548,-97.5788345
71965,34.6704847,-93.7465710
71968,34.5241714,-93.2904959
71969,34.6692421,-93.6292099
71970,34.6689345,-93.4891540
71971,34.3040216,-94.0342570
71972,34.3828911,-94.2768624
73160,35.3324382,-97.4752173
71973,34.3018822,-94.3189864
71998,34.1263845,-93.0552858
71999,34.1274583,-93.0590669
84404,41.2694732,-112.1176448
72001,35.0583514,-92.8858457
73162,35.5820109,-97.6409283
94508,38.5766179,-122.4443883
94509,37.9965006,-121.8123009
94510,38.0980706,-122.1359397
94511,38.0289395,-121.6405212
94512,38.1348519,-121.8341563
94513,37.9222276,-121.6683590
94514,37.8263717,-121.6225460
94515,38.6348225,-122.6150507
94516,37.8339014,-122.1650340
94517,37.8902169,-121.8783538
94518,37.9503623,-122.0220389
94519,37.9884511,-122.0130006
94520,37.9952866,-122.0406261
94521,37.9560116,-121.9561940
94523,37.954131,-122.0761395
94525,38.0529515,-122.2320944
94526,37.8146133,-121.9905515
94528,37.8456012,-121.9506119
94530,37.9215605,-122.2983366
94531,37.9657646,-121.7758176
94533,38.2807448,-122.0063799
94534,38.2445476,-122.1350876
94535,38.2822211,-121.9247148
94536,37.5705083,-121.9812503
94538,37.5013676,-121.9567530
94539,37.5169087,-121.9117666
94541,37.6739447,-122.0848208
48819,42.5473958,-84.2809939
39571,30.4200665,-89.2750429
42461,37.7973972,-87.8892159
39572,30.2513035,-89.6010198
42462,37.7439816,-87.8017184
42463,37.4726196,-87.8694519
48820,42.8639131,-84.5922960
42464,37.1812528,-87.3561589
48821,42.641171,-84.6474172
48822,42.8352789,-84.7631278
39573,30.7309966,-89.0933975
42501,37.0561927,-84.4509023
39574,30.6101324,-89.0917665
48823,42.7640506,-84.4599382
48825,42.727604,-84.4814203
39576,30.2900816,-89.3832781
42503,37.16496,-84.5193992
42516,37.2221537,-84.7860314
42518,36.9423696,-84.6326462
48827,42.5093186,-84.6604397
42519,36.9553066,-84.5350398
39577,30.9047292,-89.0864880
48829,43.3982054,-85.0153780
42528,37.1818017,-85.0233680
42533,37.0721946,-84.5923547
48831,43.0962186,-84.3724876
48832,43.4118826,-84.7765816
39581,30.3571008,-88.4893234
48834,43.1325854,-85.0321140
42539,37.3090818,-84.9509784
42541,37.3588837,-84.7943428
48835,43.0249034,-84.7490569
48836,42.6693193,-84.0765833
42544,37.0299484,-84.8151249
42553,37.1562375,-84.6975837
42565,37.1589756,-84.8892762
95916,39.6655389,-121.3519555
95917,39.4096859,-121.7566527
95918,39.3012294,-121.3379292
95919,39.4328816,-121.2611427
95920,39.4497945,-121.9363724
95922,39.4882862,-121.0668511
95923,40.133728,-121.0926933
95925,39.4841083,-121.1926490
95926,39.7456276,-121.8438340
95928,39.6857096,-121.8440838
95930,39.5468871,-121.1762149
95932,39.2664692,-121.9786035
95934,40.0600999,-120.9079574
95935,39.3793437,-121.1922610
95936,39.6053832,-120.8110130
95937,38.8852443,-121.9990391
95938,39.6047133,-121.7952880
95939,39.5719825,-122.5808268
95941,39.5163136,-121.2509345
95942,40.01945,-121.5666350
95943,39.5848072,-122.0322971
95944,39.495266,-120.9438112
95945,39.1963867,-120.9722894
95946,39.2155858,-121.2032398
95947,40.1745661,-120.8197556
95948,39.3392635,-121.7707851
95949,39.0992301,-121.1388483
95950,39.0434473,-121.9180988
95951,39.7225122,-122.0044327
95953,39.2590224,-121.7768256
95954,39.8846537,-121.5867885
95955,39.2945158,-122.2017152
95956,39.838288,-121.1342345
95957,39.0609213,-121.8271551
95959,39.3478111,-120.9187284
95960,39.4032165,-121.0344858
95961,39.0403045,-121.5604837
95962,39.3447901,-121.2645551
95963,39.7363084,-122.2593382
95965,39.5939448,-121.5813626
95966,39.4753603,-121.4141104
33605,27.9511221,-82.4296797
37362,35.031281,-84.6808506
33606,27.9174523,-82.4522793
37363,35.1156877,-85.0638035
37365,35.3825297,-85.5597422
23085,37.7154567,-76.8319889
43777,39.8187328,-82.1138678
43778,39.9992905,-81.3788617
49946,46.7208942,-88.3215922
43779,39.8195698,-81.4277660
23086,37.6685728,-77.0544136
49947,46.3854174,-89.6163563
43780,39.9086712,-81.4379538
23089,37.4557955,-76.9035007
43782,39.6217952,-82.2124666
23091,37.6509583,-76.7990176
49948,46.7111754,-89.0200146
23092,37.6067689,-76.5147485
43783,39.8044797,-82.2785808
43786,39.7104644,-81.2770123
49950,47.3863327,-88.1337036
49952,46.7013624,-88.7849452
43787,39.5239636,-81.8018220
53537,42.6723955,-89.2105063
61858,40.1342579,-87.7618765
61859,40.1504277,-87.9629048
61862,40.3060274,-87.9586058
61863,39.9052548,-88.2784716
53538,42.920044,-88.8571449
53540,43.2292617,-90.2849151
61864,39.9750645,-88.1527230
53541,42.5661403,-90.0293616
61865,40.3049246,-87.8024644
53543,43.0575679,-90.3454599
53544,42.8775596,-89.9056628
61866,40.3125868,-88.1545487
53545,42.7387372,-89.0402224
61870,39.8975493,-87.6183889
61871,40.1902224,-87.9680423
61872,39.9453764,-88.3781095
61873,40.1338964,-88.0391224
61874,40.0471482,-88.2567515
61875,40.1034847,-88.4164201
53546,42.6522444,-88.9481662
61876,39.9013273,-87.8361740
61877,39.9891919,-88.0816006
61878,40.2426506,-88.1454535
61880,39.9737955,-88.2489061
53548,42.682985,-89.1246732
61882,40.1062297,-88.7547293
37714,36.2603357,-84.2929680
37715,36.5542252,-83.9605183
33823,28.0857347,-81.8137314
37716,36.1008826,-84.1686912
37719,36.0224147,-84.4293813
37721,36.1184202,-83.8125842
37722,35.8148311,-83.2027023
02568,41.4586076,-70.6134790
02571,41.7611873,-70.6959913
02575,41.4002519,-70.6569337
02576,41.7722213,-70.7629481
02584,41.258845,-70.0073327
02601,41.6579605,-70.2980930
02630,41.7067558,-70.3124896
02631,41.7475128,-70.0662227
02632,41.6590971,-70.3468771
02633,41.6897337,-69.9721256
02635,41.6240537,-70.4393967
02637,41.7057259,-70.2709278
02638,41.7302281,-70.1973983
02639,41.6680669,-70.1369791
02641,41.7512456,-70.1534717
02642,41.841331,-69.9774364
02643,41.7977769,-69.9373266
02644,41.6834882,-70.5107856
02645,41.7110498,-70.0576130
02646,41.6705961,-70.0714493
02647,41.6301267,-70.3101436
02648,41.6709463,-70.4153701
02649,41.6168006,-70.4900969
02650,41.701947,-69.9613745
75161,32.7384708,-96.1691657
75163,32.1665845,-96.1188199
75164,33.0659705,-96.3087370
70503,30.1708736,-92.0547842
80487,40.540963,-106.8501112
80488,40.4487032,-106.8181839
80497,39.6707556,-106.0000641
70506,30.1954829,-92.0813270
80498,39.7466315,-106.2705296
75165,32.3722011,-96.7849441
70507,30.2783209,-92.0280347
75166,33.0130469,-96.4538868
75167,32.3608294,-96.9155228
80501,40.1648369,-105.1031785
70508,30.1552385,-92.0282253
75169,32.7032691,-95.9946662
80503,40.1690141,-105.2103757
75172,32.6051769,-96.6743172
75173,33.0617371,-96.3958247
70510,29.8946123,-92.1931730
75180,32.7166057,-96.6200870
70512,30.4157287,-91.9204968
70513,29.8999687,-91.9032510
75181,32.7238926,-96.5558037
42055,37.0752223,-88.1740493
42056,37.1072751,-88.9867460
42058,37.0583371,-88.4657068
42060,36.9658541,-88.8281298
42061,36.8828383,-88.7663655
42064,37.3571384,-88.0895147
48601,43.4059471,-83.8939978
42066,36.7325322,-88.6398816
42069,36.9187907,-88.7564930
48602,43.4200263,-83.9744724
27305,36.5268053,-79.2337548
27306,35.225229,-79.9801863
27310,36.174072,-79.9922326
27311,36.4796508,-79.4725635
27312,35.7564045,-79.2097895
27313,35.9314476,-79.7580501
27314,36.3103602,-79.1962496
27315,36.5101899,-79.4035410
27316,35.6970133,-79.6257928
27317,35.8407367,-79.8024987
27320,36.3416434,-79.6575265
27325,35.4630868,-79.5840912
27326,36.4641162,-79.5568450
27330,35.5144078,-79.1954530
27332,35.3847044,-79.1372155
27340,35.9458726,-79.3171670
27341,35.5237589,-79.6959088
27343,36.5037281,-79.0914776
27344,35.7222653,-79.4336905
27349,35.9013125,-79.4160620
27350,35.8082528,-79.8882126
27355,35.7949664,-79.5740072
27356,35.436865,-79.8042722
27357,36.2665997,-79.9706249
27358,36.228232,-79.8800606
27360,35.8605804,-80.0992879
27370,35.8092804,-79.9780246
27371,35.4068545,-79.9681443
27376,35.2391657,-79.5350596
27377,36.0426989,-79.6086857
27379,36.3740995,-79.3345125
27401,36.0691444,-79.7651561
27403,36.0659733,-79.8243831
27405,36.115383,-79.7346431
27406,36.0004551,-79.7639391
43569,41.3497669,-83.7894259
43570,41.5881171,-84.4411412
43571,41.5133157,-83.8228163
43604,41.6515257,-83.5409540
